날짜,동|면적,서울,종로구,중구,용산구,성동구,광진구,동대문구,중랑구,성북구,강북구,도봉구,노원구,은평구,서대문구,마포구,양천구,강서구,구로구,금천구,영등포구,동작구,관악구,서초구,강남구,송파구,강동구
,면적,701,5,7,17,26,15,30,21,35,11,26,62,21,19,25,28,39,39,11,29,23,22,51,58,51,32
2014년 10월,동(호),11161,80,131,210,428,220,397,416,571,169,514,1197,330,281,466,585,617,529,167,456,384,342,612,818,719,522
,면적,953,6,10,21,35,19,30,33,46,13,36,159,26,22,33,46,45,39,10,35,35,24,60,69,60,40
2014년 11월,동(호),8630,70,121,147,321,178,331,283,474,197,376,872,286,285,285,370,509,404,169,383,310,314,450,533,560,402
,면적,678,6,11,15,26,15,25,21,40,16,26,59,21,21,22,30,37,29,11,28,25,25,45,47,46,31
2014년 12월,동(호),6956,58,95,128,284,185,255,224,371,117,260,670,221,206,237,303,447,333,111,277,243,225,394,459,367,486
,면적,535,5,8,13,23,15,19,17,29,9,18,45,16,16,18,25,34,24,7,21,20,16,38,40,30,29
2015년 01월,동(호),6860,80,66,101,300,156,290,259,346,122,262,636,182,195,228,257,445,379,94,301,280,213,361,479,445,383
,면적,526,7,5,10,25,13,22,19,27,9,19,42,14,14,17,21,32,27,6,22,23,16,35,39,33,28
2015년 02월,동(호),8682,87,99,123,305,181,330,257,461,142,299,847,235,259,312,383,637,453,144,415,345,301,480,562,466,559
